,Team,CKPM,GSPD,GD15,FB%,FT%,F3T%,PPG,HLD%,FD%,DRG%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM,kill_a,death_a,assist_a,gd10,cs_min,csd_10,egpm,wpm,wcpm,kp
0,100 Thieves,0.73,-0.2,-248,65.0,45.0,35.0,3.0,43.0,60.0,62.0,55.0,61.0,50.0,50.9,2.33,1.17,1.58,55.4,45.6,143.2,-60.6,6.38,-60.6,227.0,0.47,0.32,71.7
1,Cloud9,0.75,8.9,919,47.0,53.0,63.0,4.4,66.0,74.0,69.0,68.0,64.0,50.4,54.5,2.67,1.04,1.68,48.8,32.4,113.6,71.2,6.7,71.2,248.0,0.55,0.358,66.34
2,Counter Logic Gaming,0.71,-0.2,228,47.0,37.0,47.0,4.6,55.0,47.0,47.0,58.0,55.0,50.6,50.6,2.48,1.02,1.71,47.6,49.6,108.8,-53.6,6.56,-53.6,227.4,0.5,0.342,65.72
3,Dignitas,0.68,-10.5,-1221,39.0,28.0,28.0,2.8,33.0,28.0,26.0,11.0,15.0,49.3,44.8,2.18,1.1,1.6,27.8,43.2,60.4,16.0,6.24,16.0,201.6,0.41,0.332,66.84
4,Evil Geniuses,0.66,2.6,838,53.0,42.0,53.0,4.0,42.0,58.0,46.0,63.0,55.0,50.1,50.6,2.59,1.26,1.57,50.0,43.4,128.0,83.2,6.44,83.2,228.8,0.52,0.316,70.86
5,FlyQuest,0.78,6.3,516,63.0,74.0,74.0,4.2,71.0,42.0,59.0,74.0,71.0,50.4,52.4,2.64,1.34,1.81,53.0,36.4,106.0,113.8,6.58,113.8,245.0,0.5,0.37,65.78
6,Golden Guardians,0.74,1.4,52,50.0,61.0,61.0,4.5,53.0,61.0,55.0,56.0,54.0,49.4,49.1,2.55,1.22,1.61,45.4,40.6,100.6,31.6,6.34,31.6,227.4,0.51,0.322,64.46
7,Immortals,0.71,-7.3,-1171,44.0,39.0,28.0,3.1,31.0,39.0,34.0,22.0,27.0,49.6,47.3,2.65,1.2,1.56,27.4,49.8,65.2,-84.2,6.48,-84.2,201.2,0.51,0.32,64.16
8,Team Liquid,0.73,1.8,902,44.0,78.0,72.0,5.2,61.0,39.0,52.0,50.0,41.0,50.7,51.3,2.48,1.32,1.74,44.2,46.6,97.6,73.6,6.56,73.6,224.2,0.5,0.35,64.16
9,TSM,0.73,-3.9,-926,39.0,44.0,39.0,3.2,44.0,50.0,47.0,39.0,44.0,49.4,47.9,2.48,1.1,1.55,33.0,43.2,99.6,-41.8,6.32,-41.8,219.2,0.5,0.298,72.66
